Employee_ID,Employment_Status,Hire_Date,Termination_Date,Total_Tenure_Months,Comp_vs_Market,Final_Salary,Avg_KPI_Career,Promotion_Count,Last_Promotion_Date,Exit_Reason,Attrition_Risk_Score
EMP_000001,Terminated,2018-01-01,2021-03-02,38,-4.1%,"$119,000",0.7242,0,,Voluntary_Personal,49.6
EMP_000002,Terminated,2018-01-01,2019-01-31,13,-13.2%,"$138,000",0.6864,0,,Involuntary_Restructure,54.9
EMP_000003,Terminated,2018-01-01,2023-01-31,61,7.0%,"$126,000",0.6756,0,,Voluntary_Personal,51.9
EMP_000004,Terminated,2018-01-01,2018-07-02,6,-11.5%,"$141,000",0.4287,0,,Voluntary_Low_Engagement,71.8
EMP_000005,Terminated,2018-01-01,2020-09-01,32,10.7%,"$116,000",0.6556,0,,Voluntary_Low_Engagement,53.4
EMP_000006,Terminated,2018-01-01,2020-02-01,25,0.6%,"$170,000",0.613,0,,Voluntary_Low_Engagement,60
EMP_000007,Terminated,2018-01-01,2022-03-03,50,-4.1%,"$98,000",0.6139,0,,Voluntary_Better_Offer,60.3
EMP_000008,Terminated,2018-01-02,2021-11-02,46,11.0%,"$187,000",0.6401,0,,Voluntary_Low_Engagement,55.8
EMP_000009,Terminated,2018-01-02,2021-01-01,36,-8.4%,"$96,000",0.6925,0,,Voluntary_Better_Offer,59.1
EMP_000010,Terminated,2018-01-02,2019-09-02,20,6.5%,"$112,000",0.5802,0,,Voluntary_Low_Engagement,64
EMP_000011,Terminated,2018-01-02,2020-04-02,27,-9.1%,"$113,000",0.5799,0,,Voluntary_Low_Engagement,58.4
EMP_000012,Terminated,2018-01-02,2021-05-03,40,-15.7%,"$105,000",0.7565,0,,Voluntary_Personal,52.3
EMP_000013,Terminated,2018-01-02,2018-07-03,6,-23.0%,"$142,000",0.6145,0,,Voluntary_Low_Engagement,66.7
EMP_000014,Terminated,2018-01-02,2018-10-02,9,-5.6%,"$111,000",0.5898,0,,Voluntary_Better_Offer,67.8
EMP_000015,Terminated,2018-01-02,2018-07-03,6,9.6%,"$150,000",0.5494,0,,Voluntary_Low_Engagement,60.8
EMP_000016,Terminated,2018-01-02,2019-09-02,20,31.4%,"$163,000",0.9096,0,,Voluntary_Personal,38.4
EMP_000017,Terminated,2018-01-02,2024-09-02,80,13.9%,"$134,000",0.7643,0,,Voluntary_Better_Offer,54.1
EMP_000018,Terminated,2018-01-02,2019-05-04,16,4.9%,"$130,000",0.823,0,,Voluntary_Better_Offer,55.5
EMP_000019,Terminated,2018-01-03,2020-01-03,24,15.3%,"$143,000",0.7564,0,,Voluntary_Personal,47.2
EMP_000020,Terminated,2018-01-03,2019-01-03,12,-14.7%,"$144,000",0.5856,0,,Involuntary_Restructure,64.8
EMP_000021,Terminated,2018-01-03,2020-05-04,28,2.6%,"$108,000",0.5162,0,,Voluntary_Low_Engagement,70.8
EMP_000022,Terminated,2018-01-03,2019-09-03,20,-2.3%,"$99,000",0.7098,0,,Voluntary_Better_Offer,52.9
EMP_000023,Terminated,2018-01-03,2018-07-04,6,7.0%,"$109,000",0.7008,0,,Voluntary_Low_Engagement,50.6
EMP_000024,Terminated,2018-01-04,2019-01-04,12,4.6%,"$143,000",0.5535,0,,Voluntary_Low_Engagement,69.4
EMP_000025,Terminated,2018-01-04,2019-08-05,19,6.8%,"$170,000",0.5806,0,,Voluntary_Low_Engagement,66.2
EMP_000026,Terminated,2018-01-04,2022-12-04,59,4.7%,"$168,000",0.8181,2,2021-12-04,Voluntary_Better_Offer,48.1
EMP_000027,Terminated,2018-01-04,2018-07-05,6,8.3%,"$183,000",0.6428,0,,Voluntary_Low_Engagement,57.4
EMP_000028,Terminated,2018-01-04,2022-01-04,48,-9.7%,"$92,000",0.6998,0,,Voluntary_Personal,53.1
EMP_000029,Terminated,2018-01-04,2020-06-04,29,8.2%,"$182,000",0.718,0,,Voluntary_Better_Offer,57.2
EMP_000030,Terminated,2018-01-04,2020-06-04,29,-16.7%,"$140,000",0.5935,0,,Voluntary_Low_Engagement,68.8
EMP_000031,Terminated,2018-01-04,2020-10-04,33,5.0%,"$130,000",0.6773,0,,Voluntary_Personal,60
EMP_000032,Terminated,2018-01-04,2018-07-05,6,-3.6%,"$162,000",0.5829,0,,Voluntary_Low_Engagement,66.3
EMP_000033,Terminated,2018-01-04,2020-09-04,32,5.3%,"$144,000",0.7061,0,,Voluntary_Better_Offer,52.6
EMP_000034,Terminated,2018-01-04,2019-12-05,23,-2.8%,"$114,000",0.6976,0,,Involuntary_Restructure,53
EMP_000035,Terminated,2018-01-05,2020-10-05,33,2.3%,"$120,000",0.7422,0,,Voluntary_Personal,52.1
EMP_000036,Active,2018-01-05,,83,17.5%,"$198,000",0.7139,0,,,50.5
EMP_000037,Terminated,2018-01-05,2020-03-06,26,0.9%,"$106,000",0.7665,0,,Voluntary_Better_Offer,56.2
EMP_000038,Terminated,2018-01-05,2020-04-05,27,12.9%,"$140,000",0.8248,0,,Involuntary_Restructure,47.9
EMP_000039,Active,2018-01-06,,83,13.7%,"$181,000",0.6992,0,,,52.7
EMP_000040,Terminated,2018-01-06,2018-12-06,11,-7.5%,"$147,000",0.5342,0,,Voluntary_Low_Engagement,64.3
EMP_000041,Terminated,2018-01-06,2019-12-07,23,12.3%,"$178,000",0.7031,0,,Voluntary_Better_Offer,53.5
EMP_000042,Terminated,2018-01-06,2023-11-06,70,2.9%,"$141,000",0.7676,0,,Voluntary_Better_Offer,51.4
EMP_000043,Terminated,2018-01-06,2024-09-06,80,7.1%,"$181,000",0.624,0,,Voluntary_Low_Engagement,57.9
EMP_000044,Terminated,2018-01-06,2019-03-08,14,-14.9%,"$87,000",0.65,0,,Voluntary_Personal,56.3
EMP_000045,Terminated,2018-01-07,2020-06-07,29,21.0%,"$150,000",0.7742,0,,Voluntary_Better_Offer,46.1
EMP_000046,Terminated,2018-01-07,2019-08-08,19,-7.2%,"$115,000",0.7168,0,,Voluntary_Better_Offer,57.8
EMP_000047,Terminated,2018-01-07,2018-10-07,9,-3.6%,"$153,000",0.5443,0,,Voluntary_Low_Engagement,69.1
EMP_000048,Terminated,2018-01-07,2020-04-07,27,-4.2%,"$113,000",0.6356,0,,Voluntary_Low_Engagement,52.8
EMP_000049,Terminated,2018-01-07,2020-04-07,27,-8.8%,"$125,000",0.7378,0,,Voluntary_Better_Offer,47.3
EMP_000050,Terminated,2018-01-07,2020-06-07,29,-16.3%,"$133,000",0.7779,0,,Voluntary_Personal,54.3
EMP_000051,Terminated,2018-01-07,2018-12-07,11,15.6%,"$184,000",0.9109,0,,Voluntary_Better_Offer,36.7
EMP_000052,Terminated,2018-01-07,2020-02-07,25,26.1%,"$132,000",0.7276,0,,Voluntary_Better_Offer,50.6
EMP_000053,Terminated,2018-01-08,2019-12-09,23,9.9%,"$115,000",0.5985,0,,Voluntary_Low_Engagement,59.9
EMP_000054,Terminated,2018-01-08,2021-05-09,40,-18.6%,"$85,000",0.8113,0,,Voluntary_Better_Offer,51.8
EMP_000055,Terminated,2018-01-08,2020-05-09,28,0.3%,"$118,000",0.6432,0,,Voluntary_Better_Offer,53.7
EMP_000056,Terminated,2018-01-08,2018-07-09,6,-12.0%,"$109,000",0.5029,0,,Voluntary_Low_Engagement,68.4
EMP_000057,Terminated,2018-01-08,2019-07-09,18,-12.4%,"$103,000",0.6527,0,,Voluntary_Better_Offer,51.8
EMP_000058,Terminated,2018-01-08,2019-06-09,17,10.6%,"$186,000",0.7205,0,,Voluntary_Personal,49.7
EMP_000059,Terminated,2018-01-08,2023-01-08,60,0.5%,"$137,000",0.7083,0,,Voluntary_Better_Offer,52.9
EMP_000060,Terminated,2018-01-08,2021-10-08,45,-9.1%,"$113,000",0.7748,0,,Voluntary_Personal,51.2
EMP_000061,Terminated,2018-01-08,2019-01-08,12,-9.5%,"$92,000",0.7415,0,,Voluntary_Better_Offer,57.6
EMP_000062,Terminated,2018-01-09,2021-02-08,37,17.5%,"$146,000",0.6168,0,,Voluntary_Low_Engagement,56.2
EMP_000063,Terminated,2018-01-09,2019-05-11,16,20.5%,"$126,000",0.9323,0,,Voluntary_Personal,33.9
EMP_000064,Terminated,2018-01-09,2019-01-09,12,5.8%,"$145,000",0.7284,0,,Involuntary_Restructure,42.6
EMP_000065,Terminated,2018-01-09,2022-10-10,57,13.5%,"$119,000",0.765,0,,Voluntary_Personal,48.6
EMP_000066,Terminated,2018-01-09,2020-08-09,31,8.6%,"$148,000",0.7326,0,,Voluntary_Personal,54.3
EMP_000067,Terminated,2018-01-09,2018-08-10,7,-10.4%,"$105,000",0.7594,0,,Voluntary_Personal,55.7
EMP_000068,Terminated,2018-01-09,2020-02-09,25,9.6%,"$115,000",0.672,0,,Voluntary_Better_Offer,58.9
EMP_000069,Terminated,2018-01-09,2020-05-10,28,21.3%,"$150,000",0.6648,0,,Voluntary_Better_Offer,53
EMP_000070,Terminated,2018-01-10,2019-09-10,20,-2.4%,"$102,000",0.7244,0,,Voluntary_Better_Offer,53.6
EMP_000071,Terminated,2018-01-10,2019-08-11,19,11.9%,"$114,000",0.5787,0,,Voluntary_Low_Engagement,58.4
EMP_000072,Terminated,2018-01-10,2018-07-11,6,0.7%,"$160,000",0.6678,0,,Voluntary_Low_Engagement,59.2
EMP_000073,Active,2018-01-10,,83,-14.5%,"$106,000",0.7745,0,,,48.9
EMP_000074,Terminated,2018-01-10,2019-09-10,20,-5.1%,"$118,000",0.7556,0,,Voluntary_Personal,55.9
EMP_000075,Terminated,2018-01-10,2021-12-10,47,13.9%,"$192,000",0.854,0,,Involuntary_Restructure,52.7
EMP_000076,Terminated,2018-01-10,2022-02-09,49,-10.7%,"$105,000",0.5835,0,,Voluntary_Low_Engagement,61.7
EMP_000077,Terminated,2018-01-11,2023-02-10,61,5.9%,"$195,000",0.761,0,,Voluntary_Personal,47.9
EMP_000078,Terminated,2018-01-11,2020-11-10,34,-22.2%,"$124,000",0.7835,0,,Voluntary_Low_Engagement,60.7
EMP_000079,Terminated,2018-01-11,2022-10-12,57,-0.8%,"$117,000",0.799,0,,Voluntary_Better_Offer,48.7
EMP_000080,Terminated,2018-01-11,2020-04-11,27,-14.1%,"$158,000",0.6771,0,,Voluntary_Personal,58.8
